text_clean,label
يعني لي مخرف فألاك,1.0
هذا لا نوع إهانة,0.0
اتكلمو مانكم خايفين نحن معاكم,2.0
واصل ذي الرواي لا بد توف ونعرفو لخبار شنهي,1.0
التضامن,2.0
يشاركوا الناجحين العام ايدور,1.0
لين دمقني يشوف الرئاسة دمقني,0.0
بالخير الله إجازيك بالخير وعين وعينك,2.0
جزاك الله خيرا الله يخليهالك يارب,2.0
مانكم خايفين معاكم,2.0
ش,0.0
إسم الحلقه اطول منه هذا البنك,0.0
تمطريص ذا يا وثقل,0.0
أيو وهاي أحظر أمعاهم أفهاذ أتكول,1.0
مسيكنين الفشلة المنافقين للي عندنا,0.0
ثبت جرمه,1.0
سريريك,0.0
ايلا كفلو اعلين دور نمشو ولل ايشغلون اوتوف و اتعود امرده واضحة,1.0
نسأل الله السلامة والعافية حفظ الله بلادنا وبلاد المسلمين,2.0
يشتغل معاه الطب ول هه,1.0
بيهم عنو إيشير مزال لين يكبر ماعندو مشكلة,1.0
فليفعلها قبعتى استطاع ان فعلها أرفع له الرئيس,2.0
لأن عدل الحوض الشرقي هو ألي فيه الأسواق والخير والكرم,1.0
السنغال الرئيس الموريتاني ينزع منها منصبها ويرجعها السنغال وترد أموال الشعب التى تتقاضها طوال مدتها فى الحكم,0.0
ونتوم زدتوه اتموليح ههه,0.0
التنمر,0.0
كجك اصل ماه جاحد راسو محسدك,2.0
رجل المرحلة صارم المال العام و المفسدين,2.0
اصل صحه,2.0
محگورة للاسف القائمون الشان إلين اعود كيفتهم الناس الثانية ما اعليه,0.0
تصدقها الكذبة و تكذب,0.0
البلدان احزن بلدي وانا اشاهد تطور كم,0.0
واجع علامة منذ البداية,0.0
غريبين يضحك أهل موريتان الجميع وتوف,0.0
هذا الحلقه اطول منه إسم البنك,0.0
والله ال حك,2.0
الله يعطيه العافيه وصحه وسلامه وطول العمر إنشاءالله,2.0
ما يكبظوني,0.0
ينزل مابي ينزل فيه,0.0
شاكيه لا تلحڭ شاكيه منهم شوبيه,1.0
قلبني قلبني ندخلو,1.0
حماد ازوين,2.0
الحمة,1.0
ليس رأى كمن سمع,1.0
فيهم انطار أراهوم,1.0
الرئيس اقالتها فورا ان جنسيتها والتحقيق ثبت عنها هذا القول,1.0
تفرغ زينه ماهي نوكشوط نوكشوط,1.0
هي يحفظها ماتلات صايعة اعل ذي الحالة السياسة الا ذا كيفتها,1.0
الاقل شو متعدل,2.0
يطيرهم,0.0
متعدل انت متعدل,2.0
المقيل اشحال,1.0
اصه خروجو,0.0
ول الغزواني خبز ذا فر وعارفو فيه وابعيد فيه اتغشمي,1.0
هو فيه,2.0
هي يحفظها شغاله,2.0
واعدين ذوك كوناكري,0.0
ذو هوما لتفتخر بيهم الأمة,2.0
فظمة عالم مولان,0.0
خبير قراءة الوجوه هذا الطاقم خبير الا لحمر,1.0
نحن هاذو الا محكورين توف,0.0
يستقال الص ويستراح گاع,1.0
مرشح عاقل,2.0
ذو الناس لمعدلين عنهم شنهوم تفرغ زينه هره ماهي تابعالهم شاكين الجنه,1.0
ختطاف الهاتف كول سرقة الهاتف ذا المحرر زين فيه يعدلول دورات تكوينية,2.0
عندكم خلوه,0.0
ماعندكم ماه ماه الصرك توف,0.0
مزالت الكذبة لاه توكف اعليكم نحن مان اعجال,0.0
الجماعه ماتصيب عنهم اي حكومه,1.0
لأن أهل الشرك نظرة المجتمع لنا أزدرائية ومتبديين تعرف لك ولكن أقول كما الشاعر مذمتي ناقص فهى شهادة لى بأني كاملو,1.0
شفافة,2.0
هاذي صور عند كارفور موري سانتر وسط تفرغ الزينة ماهي الأحياء الشعبية,1.0
الا الا النعمة,1.0
واللـــــــــــه ال زوين,2.0
ماجبرناه ماجبرناه,1.0
جدا صعب وضع,0.0
ذيك مشكيلة,1.0
شرط عاد عندهم العمل عندهم لاخراصت كرمي,0.0
هي محرمها وينهو,1.0
الأقل تم صوروهم زينين,1.0
التظلمات التظلمات,0.0
مافم ش الخير,0.0
الشايفين اعل الشباب ماه شباب لعليات الل الستين قصتهم معاهم قصة,1.0
شنهي نڭورجو شنهي,1.0
ناجح وموفق بإذن الله,2.0
لا لا داعي,1.0
الجلابة ادج ادج اللا هك,2.0
العظيم والله الا خامره ماتظحك,0.0
لين دمقني الرئاسة يشوف,0.0
معارضة أثبتت فشلها,0.0
ماطرا,0.0
ذوك,2.0
واردوهم اتف الا يبحث السراڭ واردوهم واحدا واحد,0.0
سيفوز النهاية سيفوز غزواني الشوط الأول,1.0
حفظهم الله,2.0
تكملة محاولة عملية مجرد المربع الذهبي,1.0
اسكي اسكي مخطر اجماعه,0.0
الدعم الدعم,2.0
حد متابع اخبار سنغال وزينه عنده قطعن بنه لين يعود عاجبه النظام الحالي يعود,2.0
الصحه,2.0
منين اخبار حريڭة ألي فكبتال,1.0
يعطيه فالبرور,2.0
الا إدور جحة هههه توف آثرو هههه,0.0
فالحات ذو لعليات يسو كاع ماينجح,2.0
هي حملة ول صالون حملة تجميل,0.0
انت أفيسد يخي,0.0
ماهي ارض,0.0
بمعى رجل الكلمة,2.0
بيهم عنو إيشير مزال لين يكبر مزال ماعندو مشكلة,1.0
ذي يخي يحشمهم ماهي شغله,0.0
كرمى اكبيرة,2.0
اي حد لاهي كولهالي ان نكتبها,1.0
ما افتح لي لي,0.0
ياربي اخليهالو الها واخليه اصل صابلها ذا الخلق الا سم,2.0
ما السارگ إيموت اتكلمت العزبه,0.0
الين دخلوها الكجكاجات يكد الا يجبر,0.0
هذا الأخير إدوريتڭلب,0.0
أصل الصحة والحمد الله وجزاك رب العالمين وجزاك الله خير,2.0
زعزعتو الأمن القومي القومي,0.0
ما يظحك,0.0
عجيب التوفيق,2.0
فظمه فيهم,0.0
يخوتي هاذا ياسرمن الظلم هاذا والستحقارعاد,0.0
طيب واد الموضو شنه ذنبه لي دخلته انت الناقة ما تخرصلك شمن ذيك الأرض,1.0
أنجح ما أنجح,0.0
ولماذا اتكول واد الناقة,1.0
الجماعة تعبان ماعندهم محتوى مقنع,0.0
جاااوبني,1.0
وخيرت,2.0
زين زين,2.0
امنادم وطني أيو اوتوف راجع إتفاقية النصاري معناه زاد باب حد يفهم ماانقالو,2.0
مافيه,1.0
ولماذا واد الناگه,1.0
نحنا خيارنا ذهو,2.0
الحمدلله لك إبارك الله فيهم,2.0
تقبل تقبل الله,2.0
مجرد محاولة عملية الذهبي,1.0
النوع المهم مايعلق اعليه المهم واصل انت ينصر,2.0
الواقع لسان,2.0
راجل متعدل وقظف ومكافح يالا ماه الدولة تعدلو ماه ذا قطعا,2.0
ايدك الله بنصره وحفظك مكروه,2.0
عالي رقم مدرسة خرص توجنين,1.0
وينهمو الولايات لخرين واعكاب,1.0
ايزيدو اللا قلق,0.0
مشرف,2.0
البعد بيهم ظاهرلي العاصمة,1.0
زوين,2.0
كايلك مزبيين,0.0
يامولان العاد فيهم حد نعرف نعرف,1.0
راني لكم فخامته,2.0
شكرا العم حمده,2.0
فصلتو اطول اعمرها انشالل الي الله امعاه,2.0
هذا ماهو صالح,0.0
المقصد لا التغريدة هذه مجال إلا للفوز و لا شيء أخر و ذه مايكبرو حد كدو,1.0
يوكي,2.0
مورطن اغباهم الوهم و لاهو ماكابظن و لعب مكشوف,0.0
واجعه واجعه والله,0.0
هو ال فيه الخير,2.0
بالتوفيق,2.0
كذبوا عليه وذلك هو جعله متوتر,0.0
ماشاء الله الله ابارك فيك,2.0
الناس لتشتغل و تشتغل الامد لتشتغل البعيد,2.0
يجبر طعمه ال,2.0
و داخل تخلق القلاقل فشلت الدولة,0.0
هاذ ماه يال,0.0
سوء التربية والأخلاق ورذالة أوتوف,0.0
واخيرت هو بيه,2.0
ياربي تسمحلي حق والديا,2.0
الفيه الخير,2.0
ولل خاظ,1.0
ياوني بيها زينه جدات وتوف,2.0
قز,2.0
الواحد إناظر ياسر الكذب فوگو ويكتب طشه الأخبار,0.0
والنزاهة حت الجد اسكي,2.0
الا العافيه يمولان,2.0
هذا القناعه لواقع لذا الراجل افكر فتباركالله احسن الخالقين,2.0
ذه خلاتك الفيافي العم الا الطفله,0.0
الله ايجازيك بالإحسان,2.0
امنين,1.0
طيرك طيرك مكيذبك,0.0
هي يحفظه متلات صايعه,2.0
واد الناكه زاد كد زاد جوقتكم انتوم,0.0
الرئيس فاز إلعدت ما اعلمت,2.0
خلو يدخل الراجل يدخل ش,0.0
التعدال,2.0
ويعينك الله ينصرك ويعينك الحق,2.0
تكانت تكانت,1.0
مؤسف حقا مؤسف,0.0
مده تعمل الصفر الوطن والمواطن عكس احميرنا نحن أجل واحلين فيه لا نهب الثروات وشراء المنازل اسبانيا والمغرب يلي يعطيهم المحور,0.0
ݣايلته ماني,0.0
ما لحريص يزگل اشوي,0.0
العصابه ش ماشوره,0.0
ماعندن فيه فيه غايه,0.0
انطار أراهوم انطار فيهم,1.0
يرمحه الغسلة,0.0
هي الغسلة اعليه,0.0
مرشحن هو الأمل,2.0
فيديو أزين گط شفتو,2.0
هههههه الله الله يسخ الممثل,0.0
اتفاقية مجحفة مليون و للسنغاليين مقابل مليار و مليون,1.0
قديمة الفكر جدا,0.0
حت طريف هههه,2.0
بيها مرحب,2.0
ماعندكم ماه الصرك توف,0.0
مساكين جماعة تاج رؤوسهن,2.0
الممارسة الممنهجة الممنهجة,1.0
واد الناكه كط سمعت حد شاري منو الحيوان يكون لعاد أزرك كيفتك انت,0.0
اح صرت الا ضامن الفوز وراسو بارد باط خبارو توتر ذا راجل عندو مدراء الحملة و الامكانيات الي ماهم عند اي مترشح ذا لاهي يوترو شنه,2.0
بيرام رجل,2.0
نسبة النجاح تعبانه جدا,2.0
هذا الدكتورصاحب الأخلاق الحميدة والتواضع,2.0
الارتباك الا هى طبيعتو,1.0
رتفعو مافاتو,1.0
مفتوحة كوناكري خطوط,0.0
ذو ذوق رفيع,2.0
رغبات الوالدين ينجبر الا الخير,2.0
حفظهم الله,2.0
فظمه سبقكم بها عكاشة صوملك والاسبوع الأول الإعلان تم الرفع رقم الخدمة انتم الأسوء لاشك,0.0
يوڭي حتته حتته,2.0
اينت لاه توخظ,1.0
الا الحڭ ههههه ههههه,2.0
راني شاكيين شركة الوطنية للماء ال فلعيون خالك حي ينڭالو حي الفاش لو اشهر مايجيه الماء وفتن وفتن تلفن اعليكم مرات بيه,2.0
ذوقي,2.0
تگد الله ماشاء ماتشفرها,2.0
اللهم زد وبارك,2.0
الصرك ماه ماعندكم توف,0.0
إريح منكم,0.0
شمن الفشلة والمفسدين يباتر المسح ماينكالو,0.0
ماه كلام ماه مهم,0.0
الله عليه لعنة الله,0.0
والله العظيم الا خامره ماتظحك,0.0
تقبل الله منها الله ينصرالإسلام فى جميع البلدان,2.0
حد امش رغبات الوالدين نجح ونجى الدنيا والآخرة بارك الله فيك,2.0
ما ايصح,0.0
مسكين إبان الا اوتوف,0.0
المشكله لايصلح الشعب ان للتغيير انظر الجاره السنغال,1.0
تعدى شرطي اعل,0.0
الزیر یزرگلو ایدور الرمز,0.0
يبوي فلسطين ازوينه,2.0
صحيح يغير ذوك الخلطة معظمهم كاملين يغير ولاءهم إلا لسنيغال,2.0
الله اكثر امثالك,2.0
الله اخلين والدين وطولن فعمارهم,2.0
التخبط,0.0
الله والدين اخلين وطولن فعمارهم,2.0
خلق نحن ألي واحل فيه إلا سريط يعاكب معاه,0.0
وللهي خاظو,2.0
ألف ميروووووورك ميروووووورك,2.0
راسو ان شاء الله الدحسنا بذا شكر اسلمها,0.0
البوثوثات البوثوثات الي الا الفيافي,0.0
ذاک صالح اهل تفرغ زینه ما یالتهم یعودو فاصلین فتیک توک,2.0
هذا طاقم متميز,2.0
لأننا نحن أهل الحوض الشرقي مهمشين الي أقصى درج وارخص الأسواق لربما اسواقنا والي لما لمح بسوق الحوض الشرقي هاذ ابيبتن,0.0
كلمتين مايڭول اخوات,0.0
نحن مان دول وتوف,0.0
هههه طريف حت,2.0
عطشانه العاصمه,0.0
العافية يعطيك,2.0
الأمن يواجعه خالك ماتل,0.0
أسو أصل,0.0
شلهم به هي تفرغ شينة شينة,1.0
خيرا يكون,2.0
أثر مهم,0.0
حنش الكايل الا كاتل ول مكتول,0.0
اگمنلهم إخلصهم جنكيزخان,1.0
هو عاد إلين المدافعين المفسدين عاد امللي مشعور بالفال,0.0
الله يحفظك بعمرك طول و,2.0
صحيح للأسف الشديد,1.0
طوالت تأجييل,0.0
اثر فم مجالس جهوية ماهم الل ذكرت,1.0
ما,0.0
الصورة اتعدل فيه سخرية تم طرح بالكم للصور الي المكبرة,0.0
اياك ماهي ممسوحه بكلنكس,0.0
ما يظحك,0.0
الحلقة الحلقة ازوين,2.0
مده يوضعهم,0.0
دعواتكم غنى عنها والحمدلله رب,2.0
اخلين كاع لا,0.0
خالي,0.0
عگاب وينهو الولايات,1.0
والله واجع يا,2.0
يتذوق الجميلات الجميلات,2.0
الحمدلله مشولن الرابط,2.0
قطعو قطعو رزوه,0.0
مخلاه ذي جماعة ماه ساعرا فسوق كاسو بيه أكبر السوق الحوظ الشرقي فياك عود ساعرين كاسو أهيه,0.0
اتحمجي عند الموريتانيون ماه متعلق بالوعي والثقافة وماعندنا فيه ؤتوف ههه,1.0
العاصمه عطشانه,0.0
أخله أخله,0.0
كونكور امنين,1.0
مده تعمل أجل الوطن والمواطن عكس احميرنا نحن الصفر واحلين فيه لا نهب الثروات وشراء المنازل اسبانيا والمغرب يلي يعطيهم المحور,0.0
جرمه ثابت جرمه,0.0
تساهل,2.0
لاه إياك وحضرتكم اتج تواجه اكريب,1.0
بايدن هو أكملو يكعد فبلد جو صابلو امن إعود رئيس لموريتان,0.0
عالم مولان ال ممثل خامر ممثل اولا يظحڭ,0.0
تعدى اعل شرطي اعل,0.0
رحم الله جدتي الله إطول عمره الله و يحفظه,2.0
مافم ش الخير,0.0
الفيافي حڭ,0.0
العمال زينه أغلبهم يشتغل فتفرغ زينه,1.0
شكرا,2.0
ذي ماتلين لاهي عنكم نكطعو عنكم نحن دهرا مكطوع الماء,0.0
اشكيف,1.0
الفيماتهم الحوض الشرقي ماه كد أيو,0.0
هاذ اجن هومن صاحبن كاع,0.0
جاااوبني حكل جاااوبني,1.0
سوق عدل بكرو أكبر وأنشط سوق واد الناكه,1.0
ماشاء الله ما يكون ش ناقصها العاد الصرف الصحي وايام انشاف كاع اكثر,2.0
زين,2.0
الحمدلله ياسر فضل الله,2.0
طاقم مبتسم الله ماشاء,2.0
هو الل دبو عاگر دبو هههه,0.0
الرابط مشولي,1.0
جديد مديورين وخيرت حڭ,2.0
فيها لعظام,0.0
ومنها يتقبل منا الله يارب لعالمين,2.0
هاذا زين يحفظ انشالله هاذا,2.0
يوكي حت الله اطول فعمرها ويرحم والتي ياربي ويرحم موتانا وموتى المسلمين,2.0
يالتها تگلع بلاصتها وترجع لسنغال بلاصت الفقر وجوع,1.0
هو الين يعود يختير يسو ركاج ادور انجح راص,1.0
مابيه مرشحك انت أڭوله أنا اتمونك لك بيه,1.0
بذاك تفو,0.0
ذكدها فاتورة,1.0
اعطون الرابط حكلل,1.0
بينهم هذي لين يقسموها بينهم اتگد اتعدلهم ش,2.0
تگد ماتشفرها ماشاء الله,2.0
التضامن,2.0
الله يحفظه وني حتت,2.0
ماكط كاع عاد واعي,0.0
اخيرمنه سونف الا حد ما يخسراعل راصو اشبهلو,0.0
وني ش تبسيمت تكشح ش لخلاق,2.0
ايطيرو ايطيرو,0.0
الموقع شنه والطريقه ال ينجبر الموقع بيه شنه,1.0
نتوم تگد تشادو تشادو شفيه لنحن,1.0
فظمه اصل,0.0
هذو الوالدين لاحول روايه,2.0
هذا غرك,0.0
هذا ظلم,0.0
جازيك بالخير,2.0
والأمور اصعيب اصعيب الوضع ماه سهلة,1.0
حاكي مانك,0.0
وخيرت اكبيره عالمولانه صحه حته الله الله ازيد شاء الله,2.0
اشطاره بيه,1.0
بيهم لي وخيرت بيهم,2.0
طاقم هذا متميز,2.0
والله لوخييرت امالك غاير منو,2.0
هههه الصراحه هذا هههه تعبـان,0.0
هاذ ماهو قرار او لاهو,0.0
انت طير انت,0.0
للأسف صحيح,2.0
أكيد انه كذب,0.0
هو ال فيه ال الخير,2.0
مسيكين راهي رتزات اوڨياتها ياواجعه,0.0
هو هاذ اعيدل,2.0
تفرغ دوله زينه دوله اوحده,1.0
لو لا النصر,2.0
أستاذ بخير جاوبني جزاك الله بخير,2.0
خلو عنكم ذي الجزائر لمراه هي لا كفيت ذيك لمراه لكانت الجزائر,1.0
الله الله يستر,2.0
تعطش الم جاور,0.0
انت كاع أثرك ركاج,0.0
أحسن الأختيار نرجو له التوفيق,2.0
قرار صائب,2.0
يوكي ال حد ايلا اعطيتو صوتك ماه خاسر,2.0
عدل فيه بگرو ينجبر فيه ذا النوع,1.0
خبير قراءة الوجوه هذا صيد الطاقم خبير الا الكذب لحمر,1.0
صالح,2.0
واصل الصحة,2.0
راهو وتوف نجح,2.0
وينهو محرمها هي,1.0
اكثر أمثالك أمثالك,2.0
لاتنساون الدعاء وللوطن الي جبرتو اكلت المال العام كلولو اشبهلو مايحج بهل حج مردود عليه وحد مالو فيه الشبه اصدقو اشبهل,2.0
صايب ماهي,1.0
تشعشيع,2.0
الغسلة يرمحه,0.0
ماهو ترتيب ولايات الوطن حسب أرتفاع نسبة الجهوية صفوف المنحدرين منها,1.0
يعطيك العافية,2.0
قطعا الحك اليوم توجنين كتيبه الحك كامله تزكنن بيب بيب فظمه متوميه,0.0
الله يجازيه و ينزل فيها البركة,2.0
ماسمعتك,1.0
عاد الفوكـ,1.0
أفتحلي ما,1.0
التعدال التعدال,2.0
أهل عدل بكرو مافيهم لعظام سوقهم زين وحيوان رااابح,2.0
أين أين,1.0
اثرهم جاو,1.0
بالتوفيق بالتوفيق,2.0
ماني ماني زاركلك,0.0
ما ش لمسيح,0.0
منه يمنعو آروكيج دور,1.0
تيرس كم نسبة فيه النجاح,1.0
نحن اصلا ماهي إمخصرتن هاذي بروت هي ماهي تيك توك هي بروت نحن لحياء نفتخر الفخر لي إمشات تيك والل بروت ماهي باكيان إفلخلاڭ مانلا,0.0
